"ID","Gene","TO_annotation","TO_ID"
"20105","GRMZM2G159675","anthesis silking interval","TO:0000463"
"20106","GRMZM2G160062","plant growth and development trait","TO:0000357"
"20107","GRMZM2G160062","plant phenological trait","TO:0000933"
"20108","GRMZM2G160062","flowering time trait","TO:0002616"
"20109","GRMZM2G160062","anthesis silking interval","TO:0000463"
"20110","GRMZM2G157812","plant growth and development trait","TO:0000357"
"20111","GRMZM2G157812","plant phenological trait","TO:0000933"
"20112","GRMZM2G157812","flowering time trait","TO:0002616"
"20113","GRMZM2G157812","anthesis silking interval","TO:0000463"
"20114","GRMZM2G578155","plant growth and development trait","TO:0000357"
"20115","GRMZM2G578155","plant phenological trait","TO:0000933"
"20116","GRMZM2G578155","flowering time trait","TO:0002616"
"20117","GRMZM2G578155","anthesis silking interval","TO:0000463"
"20118","GRMZM2G072322","plant growth and development trait","TO:0000357"
"20119","GRMZM2G072322","plant phenological trait","TO:0000933"
"20120","GRMZM2G072322","flowering time trait","TO:0002616"
"20121","GRMZM2G072322","days to flowering trait","TO:0000344"
"20122","GRMZM2G072322","days to silk","TO:0000658"
"20123","GRMZM2G072174","plant growth and development trait","TO:0000357"
"20124","GRMZM2G072174","plant phenological trait","TO:0000933"
"20125","GRMZM2G072174","flowering time trait","TO:0002616"
"20126","GRMZM2G072174","days to flowering trait","TO:0000344"
"20127","GRMZM2G072174","days to silk","TO:0000658"
"20128","GRMZM2G360873","plant growth and development trait","TO:0000357"
"20129","GRMZM2G360873","plant phenological trait","TO:0000933"
"20130","GRMZM2G360873","flowering time trait","TO:0002616"
"20131","GRMZM2G360873","days to flowering trait","TO:0000344"
"20132","GRMZM2G360873","days to silk","TO:0000658"
"20133","GRMZM2G116626","flowering time trait","TO:0002616"
"20134","GRMZM2G116626","days to flowering trait","TO:0000344"
"20135","GRMZM2G116626","days to silk","TO:0000658"
"20136","GRMZM2G400109","plant growth and development trait","TO:0000357"
"20137","GRMZM2G400109","plant phenological trait","TO:0000933"
"20138","GRMZM2G400109","flowering time trait","TO:0002616"
"20139","GRMZM2G400109","days to flowering trait","TO:0000344"
"20140","GRMZM2G400109","days to silk","TO:0000658"
"20141","GRMZM2G101179","plant growth and development trait","TO:0000357"
"20142","GRMZM2G101179","plant phenological trait","TO:0000933"
"20143","GRMZM2G101179","flowering time trait","TO:0002616"
"20144","GRMZM2G101179","days to flowering trait","TO:0000344"
"20145","GRMZM2G101179","days to silk","TO:0000658"
"20146","GRMZM5G854655","plant growth and development trait","TO:0000357"
"20147","GRMZM5G854655","plant phenological trait","TO:0000933"
"20148","GRMZM5G854655","flowering time trait","TO:0002616"
"20149","GRMZM5G854655","days to flowering trait","TO:0000344"
"20150","GRMZM5G854655","days to silk","TO:0000658"
"20151","GRMZM2G124476","flowering time trait","TO:0002616"
"20152","GRMZM2G124476","days to flowering trait","TO:0000344"
"20153","GRMZM2G124476","days to silk","TO:0000658"
"20154","GRMZM2G124466","flowering time trait","TO:0002616"
"20155","GRMZM2G124466","days to flowering trait","TO:0000344"
"20156","GRMZM2G124466","days to silk","TO:0000658"
"20157","GRMZM2G016890","flowering time trait","TO:0002616"
"20158","GRMZM2G016890","days to flowering trait","TO:0000344"
"20159","GRMZM2G016890","days to silk","TO:0000658"
"20160","GRMZM2G440259","flowering time trait","TO:0002616"
"20161","GRMZM2G440259","days to flowering trait","TO:0000344"
"20162","GRMZM2G440259","days to silk","TO:0000658"
"20163","GRMZM2G142820","flowering time trait","TO:0002616"
