"ID","Gene","TO_annotation","TO_ID"
"10753","LOC_Os03g06950","cold tolerance","TO:0000303"
"10754","LOC_Os03g06970","plant morphology trait","TO:0000017"
"10755","LOC_Os03g06970","plant structure morphology trait","TO:0000839"
"10756","LOC_Os03g06970","collective plant structure morphology trait","TO:0000840"
"10757","LOC_Os03g06970","collective plant organ structure morphology trait","TO:0000842"
"10758","LOC_Os03g06970","shoot system morphology trait","TO:0000077"
"10759","LOC_Os03g06970","tiller angle","TO:0000567"
"10760","LOC_Os03g06980","plant morphology trait","TO:0000017"
"10761","LOC_Os03g06980","plant structure morphology trait","TO:0000839"
"10762","LOC_Os03g06980","collective plant structure morphology trait","TO:0000840"
"10763","LOC_Os03g06980","collective plant organ structure morphology trait","TO:0000842"
"10764","LOC_Os03g06980","shoot system morphology trait","TO:0000077"
"10765","LOC_Os03g06980","tiller angle","TO:0000567"
"10766","LOC_Os03g06990","plant morphology trait","TO:0000017"
"10767","LOC_Os03g06990","plant structure morphology trait","TO:0000839"
"10768","LOC_Os03g06990","collective plant structure morphology trait","TO:0000840"
"10769","LOC_Os03g06990","collective plant organ structure morphology trait","TO:0000842"
"10770","LOC_Os03g06990","shoot system morphology trait","TO:0000077"
"10771","LOC_Os03g06990","tiller angle","TO:0000567"
"10772","LOC_Os03g07000","plant morphology trait","TO:0000017"
"10773","LOC_Os03g07000","plant structure morphology trait","TO:0000839"
"10774","LOC_Os03g07000","collective plant structure morphology trait","TO:0000840"
"10775","LOC_Os03g07000","collective plant organ structure morphology trait","TO:0000842"
"10776","LOC_Os03g07000","shoot system morphology trait","TO:0000077"
"10777","LOC_Os03g07000","tiller angle","TO:0000567"
"10778","LOC_Os03g07010","plant morphology trait","TO:0000017"
"10779","LOC_Os03g07010","plant structure morphology trait","TO:0000839"
"10780","LOC_Os03g07010","collective plant structure morphology trait","TO:0000840"
"10781","LOC_Os03g07010","collective plant organ structure morphology trait","TO:0000842"
"10782","LOC_Os03g07010","shoot system morphology trait","TO:0000077"
"10783","LOC_Os03g07010","tiller angle","TO:0000567"
"10784","LOC_Os03g07130","stress trait","TO:0000164"
"10785","LOC_Os03g07130","abiotic stress trait","TO:0000168"
"10786","LOC_Os03g07130","temperature response trait","TO:0000432"
"10787","LOC_Os03g07130","cold tolerance","TO:0000303"
"10788","LOC_Os03g07140","stress trait","TO:0000164"
"10789","LOC_Os03g07140","abiotic stress trait","TO:0000168"
"10790","LOC_Os03g07140","temperature response trait","TO:0000432"
"10791","LOC_Os03g07140","cold tolerance","TO:0000303"
"10792","LOC_Os03g07150","stress trait","TO:0000164"
"10793","LOC_Os03g07150","abiotic stress trait","TO:0000168"
"10794","LOC_Os03g07150","temperature response trait","TO:0000432"
"10795","LOC_Os03g07150","cold tolerance","TO:0000303"
"10796","LOC_Os03g07130","plant morphology trait","TO:0000017"
"10797","LOC_Os03g07130","plant structure morphology trait","TO:0000839"
"10798","LOC_Os03g07130","multi-tissue plant structure morphology trait","TO:0000836"
"10799","LOC_Os03g07130","fruit morphology trait","TO:0002629"
"10800","LOC_Os03g07130","fruit length","TO:0002626"
"10801","LOC_Os03g07130","grain length","TO:0000734"
"10802","LOC_Os03g07140","plant morphology trait","TO:0000017"
"10803","LOC_Os03g07140","plant structure morphology trait","TO:0000839"
"10804","LOC_Os03g07140","multi-tissue plant structure morphology trait","TO:0000836"
"10805","LOC_Os03g07140","fruit morphology trait","TO:0002629"
"10806","LOC_Os03g07140","fruit length","TO:0002626"
"10807","LOC_Os03g07140","grain length","TO:0000734"
"10808","LOC_Os03g07150","plant morphology trait","TO:0000017"
"10809","LOC_Os03g07150","plant structure morphology trait","TO:0000839"
"10810","LOC_Os03g07150","multi-tissue plant structure morphology trait","TO:0000836"
"10811","LOC_Os03g07150","fruit morphology trait","TO:0002629"
"10812","LOC_Os03g07150","fruit length","TO:0002626"
"10813","LOC_Os03g07150","grain length","TO:0000734"
"10814","LOC_Os03g07160","plant morphology trait","TO:0000017"
"10815","LOC_Os03g07160","plant structure morphology trait","TO:0000839"
"10816","LOC_Os03g07160","multi-tissue plant structure morphology trait","TO:0000836"
"10817","LOC_Os03g07160","fruit morphology trait","TO:0002629"
"10818","LOC_Os03g07160","fruit length","TO:0002626"
"10819","LOC_Os03g07160","grain length","TO:0000734"
"10820","LOC_Os03g07160","stress trait","TO:0000164"
"10821","LOC_Os03g07160","abiotic stress trait","TO:0000168"
"10822","LOC_Os03g07160","temperature response trait","TO:0000432"
"10823","LOC_Os03g07160","cold tolerance","TO:0000303"
