"ID","gene","GO_id"
"189","GRMZM2G432926","GO:0009414"
"190","GRMZM2G432926","GO:0005773"
"191","GRMZM2G432926","GO:0005215"
"192","GRMZM2G432926","GO:0016020"
"193","GRMZM2G076796","GO:0009055"
"194","GRMZM2G091456","GO:0016021"
"195","GRMZM2G447379","GO:0003824"
"196","GRMZM2G131329","GO:0005794"
"197","GRMZM2G131329","GO:0016021"
"198","GRMZM2G131329","GO:0016020"
"199","GRMZM2G131329","GO:0016757"
"200","GRMZM2G131321","GO:0005787"
"201","GRMZM2G131321","GO:0016021"
"202","GRMZM2G131321","GO:0005783"
"203","GRMZM2G131324","GO:0000166"
"204","GRMZM2G138494","GO:0032259"
"205","GRMZM2G148176","GO:0005975"
"206","GRMZM2G148176","GO:0003824"
"207","GRMZM2G103273","GO:0005975"
"208","GRMZM2G046011","GO:0005622"
"209","GRMZM2G046011","GO:0003735"
"210","GRMZM2G103270","GO:0005515"
"211","GRMZM2G459811","GO:0005737"
"212","GRMZM2G459811","GO:0005488"
"213","GRMZM2G459811","GO:0009408"
"214","AC197242.3_FG001","GO:0016747"
"215","GRMZM5G843368","GO:0009416"
"216","GRMZM5G843368","GO:0009055"
"217","GRMZM2G457415","GO:0005643"
"218","GRMZM2G457415","GO:0008565"
"219","GRMZM2G457415","GO:0005488"
"220","AC214168.3_FG001","GO:0006355"
"221","AC214168.3_FG001","GO:0005667"
"222","GRMZM2G457411","GO:0005515"
"223","GRMZM2G088951","GO:0005975"
"224","GRMZM2G088951","GO:0005618"
"225","GRMZM2G088951","GO:0048046"
"226","GRMZM2G088951","GO:0005773"
"227","GRMZM2G088951","GO:0009409"
"228","GRMZM2G166145","GO:0005794"
"229","GRMZM2G166145","GO:0005886"
"230","GRMZM2G166141","GO:0048046"
"231","GRMZM2G044527","GO:0016192"
"232","GRMZM2G044527","GO:0005886"
"233","GRMZM2G044527","GO:0005484"
"234","GRMZM2G171816","GO:0005215"
"235","GRMZM2G171816","GO:0016020"
"236","GRMZM2G171810","GO:0006351"
"237","GRMZM2G400694","GO:0005886"
"238","GRMZM2G400694","GO:0005739"
"239","GRMZM2G400694","GO:0000166"
"240","GRMZM2G400694","GO:0005524"
"241","GRMZM2G103490","GO:0005634"
"242","GRMZM2G103490","GO:0005543"
"243","GRMZM2G103490","GO:0005545"
"244","GRMZM2G103490","GO:0005886"
"245","GRMZM2G103490","GO:0005829"
"246","GRMZM2G463464","GO:0016772"
"247","GRMZM2G463464","GO:0000166"
"248","GRMZM2G463464","GO:0005509"
"249","GRMZM2G463464","GO:0005886"
"250","GRMZM2G463464","GO:0005524"
"251","GRMZM2G429695","GO:0016021"
"252","GRMZM5G822426","GO:0005515"
"253","GRMZM2G041549","GO:0005515"
"254","GRMZM2G041544","GO:0016772"
"255","GRMZM2G041544","GO:0005524"
"256","GRMZM2G029478","GO:0016036"
"257","GRMZM2G029478","GO:0005515"
"258","GRMZM2G029479","GO:0004601"
"259","GRMZM2G036609","GO:0048046"
"260","GRMZM2G036609","GO:0009416"
"261","GRMZM2G036609","GO:0016020"
"262","GRMZM2G036609","GO:0016041"
"263","GRMZM2G036609","GO:0005739"
"264","GRMZM2G036609","GO:0051538"
"265","GRMZM2G163519","GO:0016758"
"266","GRMZM2G047875","GO:0016021"
"267","GRMZM2G323013","GO:0005515"
"268","AC203041.3_FG005","GO:0004601"
"269","GRMZM2G072892","GO:0005773"
"270","GRMZM2G072892","GO:0005794"
"271","GRMZM2G072892","GO:0016021"
"272","GRMZM2G100913","GO:0005515"
"273","GRMZM2G100913","GO:0005622"
"274","GRMZM2G100911","GO:0016772"
"275","GRMZM2G100911","GO:0005886"
"276","GRMZM2G100911","GO:0005524"
"277","GRMZM2G120971","GO:0005634"
"278","GRMZM2G120971","GO:0006351"
"279","GRMZM2G130749","GO:0016020"
"280","GRMZM2G130749","GO:0005783"
"281","GRMZM2G130749","GO:0005789"
"282","GRMZM2G130749","GO:0016021"
"283","GRMZM2G130749","GO:0016746"
"284","GRMZM2G130749","GO:0009409"
"285","GRMZM2G130749","GO:0005975"
"286","GRMZM2G130749","GO:0004144"
"287","GRMZM2G135513","GO:0005515"
"288","GRMZM2G451716","GO:0000166"
"289","GRMZM2G130746","GO:0005634"
"290","GRMZM2G130746","GO:0000786"
"291","GRMZM2G130746","GO:0005694"
"292","GRMZM2G130746","GO:0006334"
"293","GRMZM2G045732","GO:0005634"
"294","GRMZM2G045732","GO:0005829"
"295","GRMZM2G045732","GO:0005886"
"296","GRMZM2G141084","GO:0005515"
"297","AC200210.1_FG006","GO:0003824"
"298","AC200210.1_FG006","GO:0005739"
"299","GRMZM2G701930","GO:0005524"
"300","GRMZM2G013331","GO:0016787"
