"moduleID","gene#","genelist"
"122","15","LOC_Os01g74550 LOC_Os04g19140 LOC_Os12g04130 LOC_Os03g13400 LOC_Os03g31880 LOC_Os08g40280 LOC_Os04g38810 LOC_Os05g34000 LOC_Os11g04330 LOC_Os03g43580 LOC_Os11g14070 LOC_Os12g38200 LOC_Os04g01610 LOC_Os03g14840 LOC_Os09g21260"
"123","15","LOC_Os04g56990 LOC_Os10g02070 LOC_Os01g15340 LOC_Os03g13210 LOC_Os01g74410 LOC_Os08g02110 LOC_Os07g14740 LOC_Os11g34920 LOC_Os10g14920 LOC_Os11g47460 LOC_Os05g02420 LOC_Os12g42400 LOC_Os02g39140 LOC_Os03g53200 LOC_Os08g07970"
"124","15","LOC_Os09g37720 LOC_Os02g18784 LOC_Os02g05430 LOC_Os03g17140 LOC_Os09g36890.2 LOC_Os04g36790 LOC_Os02g58460 LOC_Os02g36360 LOC_Os02g05360 LOC_Os06g41240 LOC_Os01g04020 LOC_Os06g07878 LOC_Os04g59140 LOC_Os12g42380 LOC_Os02g46839"
"125","15","LOC_Os02g30840 LOC_Os06g02160 LOC_Os01g58114 LOC_Os12g12300 LOC_Os11g40540 LOC_Os02g05370 LOC_Os01g36630 LOC_Os01g50340 LOC_Os08g04150 LOC_Os12g34330 LOC_Os06g48530 LOC_Os01g73800 LOC_Os05g24000 LOC_Os09g32940 LOC_Os10g01380"
"126","15","LOC_Os12g09000 LOC_Os03g07420 LOC_Os07g03130 LOC_Os05g01190 LOC_Os01g12560 LOC_Os06g44840 LOC_Os09g04990 LOC_Os09g26730 LOC_Os02g50100 LOC_Os02g24354 LOC_Os01g13190 LOC_Os03g39010 LOC_Os09g36990 LOC_Os06g12040 LOC_Os01g42770"
"127","15","LOC_Os03g11590 LOC_Os04g57400 LOC_Os05g37140 LOC_Os01g47690 LOC_Os02g22190 LOC_Os02g42520 LOC_Os03g27080 LOC_Os03g57120 LOC_Os07g22350 LOC_Os11g29400 LOC_Os01g32280 LOC_Os02g37080 LOC_Os06g13680 LOC_Os04g38870 LOC_Os12g39860"
"128","14","LOC_Os02g22680 LOC_Os01g73700 LOC_Os01g73720 LOC_Os04g10434 LOC_Os09g32500 LOC_Os04g06300 LOC_Os10g21400 LOC_Os05g15690 LOC_Os05g04690 LOC_Os06g30860 LOC_Os06g49300 LOC_Os08g43800 LOC_Os04g33520 LOC_Os03g58420"
"129","14","LOC_Os04g29210 LOC_Os11g12420 LOC_Os03g62150 LOC_Os01g56720 LOC_Os06g40910 LOC_Os01g61310 LOC_Os07g26900 LOC_Os01g57380 LOC_Os10g26164 LOC_Os02g10100 LOC_Os07g13900 LOC_Os07g36430 LOC_Os09g20670 LOC_Os05g39500"
"13","206","LOC_Os10g39970 LOC_Os07g01840 LOC_Os07g01520 LOC_Os11g43980 LOC_Os02g21530 LOC_Os07g14660 LOC_Os02g32850 LOC_Os12g40200 LOC_Os06g03030 LOC_Os04g07130 LOC_Os03g25990 LOC_Os03g44880 LOC_Os11g42660 LOC_Os08g43600 LOC_Os07g12100 LOC_Os06g03220 LOC_Os09g27730 "
"130","14","LOC_Os03g20210 LOC_Os09g12230 LOC_Os10g03580 LOC_Os06g18850 LOC_Os04g43340 LOC_Os10g10480 LOC_Os07g17220 LOC_Os12g03594 LOC_Os01g57340 LOC_Os11g11790 LOC_Os05g31530 LOC_Os11g04180 LOC_Os01g23380 LOC_Os04g46750"
"131","14","LOC_Os01g07900 LOC_Os04g01990 LOC_Os05g28370 LOC_Os01g24020 LOC_Os09g24640 LOC_Os02g58330 LOC_Os10g10980 LOC_Os11g06580 LOC_Os05g36150 LOC_Os01g16220 LOC_Os10g04600 LOC_Os01g71990 LOC_Os08g24182 LOC_Os09g07614"
"132","14","LOC_Os08g13060 LOC_Os03g52400 LOC_Os05g02690 LOC_Os03g22519 LOC_Os11g34810 LOC_Os06g30250 LOC_Os02g47030 LOC_Os02g34540 LOC_Os01g68500 LOC_Os03g53210 LOC_Os10g04590 LOC_Os10g26640 LOC_Os03g22720 LOC_Os07g07410"
"133","14","LOC_Os02g03580 LOC_Os06g06190 LOC_Os01g62810 LOC_Os01g17396 LOC_Os01g31360 LOC_Os09g35880 LOC_Os08g06110 LOC_Os06g38320 LOC_Os01g56780 LOC_Os08g41830 LOC_Os07g48570 LOC_Os03g27019 LOC_Os04g42090 LOC_Os05g50840"
"134","14","LOC_Os02g04490 LOC_Os07g43380 LOC_Os11g01190 LOC_Os07g47360 LOC_Os02g06592 LOC_Os02g52960 LOC_Os02g58560 LOC_Os02g01170 LOC_Os02g58554 LOC_Os06g43120 LOC_Os05g38710 LOC_Os08g17600 LOC_Os04g58560 LOC_Os05g01240"
"135","13","LOC_Os01g66630 LOC_Os11g10180 LOC_Os05g18780 LOC_Os04g36830 LOC_Os12g42064 LOC_Os02g22000 LOC_Os09g29790 LOC_Os09g36540 LOC_Os03g08160 LOC_Os12g08140 LOC_Os01g07600 LOC_Os02g15360 LOC_Os06g25500"
"136","13","LOC_Os07g04110 LOC_Os01g04540 LOC_Os12g13270 LOC_Os06g28050 LOC_Os07g15940 LOC_Os09g17360 LOC_Os09g17344 LOC_Os03g47614 LOC_Os01g48874 LOC_Os08g26230 LOC_Os11g47310 LOC_Os01g65130 LOC_Os10g25020"
"137","13","LOC_Os01g71460 LOC_Os09g25190 LOC_Os01g42210 LOC_Os02g42870 LOC_Os07g18960 LOC_Os03g47260 LOC_Os06g45540 LOC_Os04g46950 LOC_Os02g39910 LOC_Os09g36960 LOC_Os09g15680 LOC_Os06g12210 LOC_Os02g53169"
"138","13","LOC_Os01g25360 LOC_Os09g30454 LOC_Os04g10690 LOC_Os06g38830 LOC_Os03g47810 LOC_Os01g48640 LOC_Os05g12370 LOC_Os06g38450 LOC_Os04g26900 LOC_Os07g47450 LOC_Os11g07980 LOC_Os07g43560 LOC_Os01g33710"
"139","13","LOC_Os03g06430 LOC_Os08g10730 LOC_Os06g41910 LOC_Os10g39570 LOC_Os07g31140 LOC_Os11g06900 LOC_Os06g11400 LOC_Os06g05359 LOC_Os01g21630 LOC_Os08g23160 LOC_Os10g40130 LOC_Os12g05600 LOC_Os04g33630"
